S. No.,Company name,Company Type,Website,Email,Contact,Location
1,Alab Technology Private Limited,Software company,https://alabtechnology.com/,support@alabtechnology.com,8072126469,"5A, Sippai Nagar, Kumananchavadi, Signal, Chennai, Tamil Nadu 600056"
2,Softrate Tech Park,Software company,https://softrateglobal.com/,business@softrateglobal.com,9843222170,"60A, Velleeswarar Koil St, Srinivasa Nagar, Mangadu, Chennai, Tamil Nadu 600122"
3,CONTUS TECH,Software company,https://www.contus.com/,,,"30, Level 9, The Hive Workspaces, Keppel One Paramount Campus, 110, Mount Poonamallee Rd, Porur, Chennai, Tamil Nadu 600116"
4,Spezar Tech Private Limited,Automation company,https://spezartech.com/,info@spezartech.com,8610804852,"Tagore St, Nilamangai Nagar, Adambakkam, Chennai, Tamil Nadu 600088"
5,Quadkast Technologies Private Limited,Software company,https://www.quadkast.com/,info@quadkast.com,,"1, Plot 12C, Industrial Estate 3rd Cross St, South Phase, Guindy Industrial Estate, SIDCO Industrial Estate, Guindy, Chennai, Tamil Nadu 600032"
6,CodeTez Technologies,Software company,https://www.codetez.com/,contact@codetez.com,9952074904,"No 122, S-2, 2nd Floor, 15th Avenue, Jawaharlal Nehru Salai, Ashok Nagar, Chennai, Tamil Nadu 600083"
7,Domaincer,Software company,https://domaincer.com/,,8190007007,"The Hive, 3rd Floor, Madras House Building VR Mall, Anna Nagar, Chennai, Tamil Nadu 600040"
8,Muviereck Technologies Private Limited,Software company,https://www.muvierecktech.com/,info@muvierecktech.com,9344353635,"Muviereck Technologies Private Limited, Old 364/4, New 641/4, Ground Floor, Poonamallee High Rd, Aminjikarai, Chennai, Tamil Nadu 600030"
9,Sykasys Technologies,Software company,https://www.sykasys.com/,info@sykasys.com,9840520566,"8th Floor, Sam's Villa, KRM Plaza, South Tower, Harrington Rd, Chetpet, Chennai, Tamil Nadu 600031"
10,Flendzz,Software company,https://vasoolbook.in/,,,"6A, 6th Floor, Sapna Trade Centre, Poonamallee High Rd, Egmore, Chennai, Tamil Nadu 600008"
11,Visanka Technologies Pvt Ltd,Software company,https://www.visankatechnologies.com/,info@visankatechnologies.com,7010095990,"135A,1st Floor, CRBS Complex, Swamy Naicken St, Chintadripet, Chennai, Tamil Nadu 600002"
12,Appsplug Software India Pvt. Ltd.,Software company,https://appsplug.com/,info@appsplug.com,7904116026,"715A, 7th Floor, Suite No. 180, Spencer Plaza Mall, Anna Salai, Chennai, Tamil Nadu 600002"
13,Zinovate Cloud India,Software company,https://zinovatecloud.com/,Info.asia@zinovatecloud.com,2262591232,"L5, PRESTIGE PALLADIUM BAYAN, 129 - 140, Greams Rd, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600006"
14,Ghoshak ( A product of Zoryboard Software Solutions Private Limited),Software company,http://www.ghoshak.com/,support@ghoshak.com,9600075230,"4E, 112, Eldorado Building, Uthamar Gandhi Salai, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600034"
15,Indie Labs Technologies,Software company,https://www.indielabs.in/,,7904967985,"NRCS TOWER, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600034"
16,Riyadvi Software Technologies Private Limited,Software company,https://riyadvisoftwaretechnologies.com/,info@riyadvisoftwaretechnologies.com,8072487427,"17, Aarti arcade, Dr Radha Krishnan Salai, opposite AVM Rajeswari Kalyana mandapam, Krishnapuram, Mylapore, Chennai, Tamil Nadu 600004"
17,Startup-Hirers | Software Training Institute Chennai,Software Training Institute,https://startuphirers.com/,,,"29, 3rd Main Rd, Gandhi Nagar, Adyar, Chennai, Tamil Nadu 600020"
18,Siam Computing,Software company,https://siamcomputing.com/,hello@siamcomputing.com,9003259542,"No 30, 2nd Floor 1st Main Road, 6th Cross St, Shastri Nagar, Adyar, Chennai, Tamil Nadu 600020"
19,Open Weaver India Private Limited,Software company,https://www.openweaver.com/,support@openweaver.com,9176295028,"2nd Floor, 1A, RMZ MILLENIA BUSINESS PARK-II, MGR Main Rd, Kodandarama Nagar, Perungudi, Chennai, Tamil Nadu 600096"
,,,,,,
20,Amtex System Inc,IT,Link,info@amtexsystems.com,N/A,Chennai
21,Angikul Cosmos,Aerospace,Link,humancapital@agnikul.in,N/A,Chennai
22,ChargeBee,Saas,Link,careers@chargebee.com,N/A,Chennai
23,DevRev,AI/SaaS,Link,careers@devrev.ai,N/A,Chennai
24,Everstage,SaaS,Link,builders@everstage.com,N/A,Chennai
25,Finzly,IT,Link,careers@finzly.com,N/A,Chennai
26,GT Holidays,Travel Arrangements,Link,mail@gtholidays.in,N/A,Chennai
27,HippoVideo,Video/saas,Link,support@hippovideo.io,N/A,Chennai
28,KissFlow,SaaS/No Code,Link,hr@kissflow.com,N/A,Chennai
29,M2P Fintech,Fintech,Link,talent@m2pfintech.com,N/A,Chennai
